55-page phone/GTM compare: built pages vs the live domain as fetched. 55 pages compared, 0 with differences.
Totals in the built pages: tel hrefs 183, data-dni attrs 373, visible numbers 367, GTM ids 68
VERDICT: ZERO DIFFERENCES

  same /  (0 phone/GTM tokens)
  same /demo/summit-tree/agnostic/  (20 phone/GTM tokens)
  same /demo/summit-tree/agnostic/thank-you/  (5 phone/GTM tokens)
  same /demo/summit-tree/removal-a/  (44 phone/GTM tokens)
  same /demo/summit-tree/removal-a/thank-you/  (5 phone/GTM tokens)
  same /demo/summit-tree/removal-b/  (25 phone/GTM tokens)
  same /demo/summit-tree/removal-b/thank-you/  (5 phone/GTM tokens)
  same /demo/summit-tree/removal-c/  (29 phone/GTM tokens)
  same /demo/summit-tree/removal-c/thank-you/  (5 phone/GTM tokens)
  same /demo/summit-tree/storm-a/  (25 phone/GTM tokens)
  same /demo/summit-tree/storm-a/thank-you/  (5 phone/GTM tokens)
  same /demo/summit-tree/storm-b/  (25 phone/GTM tokens)
  same /demo/summit-tree/storm-b/thank-you/  (5 phone/GTM tokens)
  same /demo/summit-tree/storm-c/  (25 phone/GTM tokens)
  same /demo/summit-tree/storm-c/thank-you/  (5 phone/GTM tokens)
  same /demo/summit-tree/trimming-a/  (45 phone/GTM tokens)
  same /demo/summit-tree/trimming-a/thank-you/  (5 phone/GTM tokens)
  same /demo/summit-tree/trimming-b/  (20 phone/GTM tokens)
  same /demo/summit-tree/trimming-b/thank-you/  (5 phone/GTM tokens)
  same /demo/summit-tree/trimming-c/  (25 phone/GTM tokens)
  same /demo/summit-tree/trimming-c/thank-you/  (5 phone/GTM tokens)
  same /p/j-valdez/agnostic/  (24 phone/GTM tokens)
  same /p/j-valdez/agnostic/thank-you/  (7 phone/GTM tokens)
  same /p/j-valdez/removal-a/  (48 phone/GTM tokens)
  same /p/j-valdez/removal-a/thank-you/  (7 phone/GTM tokens)
  same /p/j-valdez/removal-b/  (29 phone/GTM tokens)
  same /p/j-valdez/removal-b/thank-you/  (7 phone/GTM tokens)
  same /p/j-valdez/removal-c/  (33 phone/GTM tokens)
  same /p/j-valdez/removal-c/thank-you/  (7 phone/GTM tokens)
  same /p/j-valdez/trimming-a/  (49 phone/GTM tokens)
  same /p/j-valdez/trimming-a/thank-you/  (7 phone/GTM tokens)
  same /p/j-valdez/trimming-b/  (24 phone/GTM tokens)
  same /p/j-valdez/trimming-b/thank-you/  (7 phone/GTM tokens)
  same /p/j-valdez/trimming-c/  (29 phone/GTM tokens)
  same /p/j-valdez/trimming-c/thank-you/  (7 phone/GTM tokens)
  same /p/texas-tree-tops/agnostic/  (22 phone/GTM tokens)
  same /p/texas-tree-tops/agnostic/thank-you/  (7 phone/GTM tokens)
  same /p/texas-tree-tops/removal-a/  (46 phone/GTM tokens)
  same /p/texas-tree-tops/removal-a/thank-you/  (7 phone/GTM tokens)
  same /p/texas-tree-tops/removal-b/  (27 phone/GTM tokens)
  same /p/texas-tree-tops/removal-b/thank-you/  (7 phone/GTM tokens)
  same /p/texas-tree-tops/removal-c/  (31 phone/GTM tokens)
  same /p/texas-tree-tops/removal-c/thank-you/  (7 phone/GTM tokens)
  same /p/texas-tree-tops/storm-a/  (27 phone/GTM tokens)
  same /p/texas-tree-tops/storm-a/thank-you/  (7 phone/GTM tokens)
  same /p/texas-tree-tops/storm-b/  (27 phone/GTM tokens)
  same /p/texas-tree-tops/storm-b/thank-you/  (7 phone/GTM tokens)
  same /p/texas-tree-tops/storm-c/  (27 phone/GTM tokens)
  same /p/texas-tree-tops/storm-c/thank-you/  (7 phone/GTM tokens)
  same /p/texas-tree-tops/trimming-a/  (47 phone/GTM tokens)
  same /p/texas-tree-tops/trimming-a/thank-you/  (7 phone/GTM tokens)
  same /p/texas-tree-tops/trimming-b/  (22 phone/GTM tokens)
  same /p/texas-tree-tops/trimming-b/thank-you/  (7 phone/GTM tokens)
  same /p/texas-tree-tops/trimming-c/  (27 phone/GTM tokens)
  same /p/texas-tree-tops/trimming-c/thank-you/  (7 phone/GTM tokens)

Deployment 82c8746a from 68c9013, compared 2026-09-17 22:22 CDT; the live copies refetched after the deploy (the pre-batch copies kept at /tmp/live55-prebatch).
